,0
 Min Packet Length,0.08209772603420928
 Avg Fwd Segment Size,0.07537833868282655
 Fwd Packet Length Mean,0.07535108216567939
Total Length of Fwd Packets,0.07449505550717991
 Subflow Fwd Bytes,0.06724590387329626
 Average Packet Size,0.06596395702546372
 Fwd Packet Length Max,0.06463033575214318
 Fwd Packet Length Min,0.06324063325497498
 Packet Length Mean,0.058674112393265455
 Max Packet Length,0.05835876922386228
Flow Bytes/s,0.04841502789496757
 min_seg_size_forward,0.030592192075634652
 Fwd Header Length,0.02110391038235474
 Fwd Header Length.1,0.020503626027447437
 Total Backward Packets,0.015802141463148147
 Inbound,0.01304699374656258
 Flow IAT Max,0.010782185640878954
 Bwd Header Length,0.010509361617923074
 Flow Duration,0.010261966464956574
Fwd Packets/s,0.01023932058017093
